Sku_id,Desc,Vendor,Zone,Aisle,Bay,Sell_unit,Pack_1,Pack_2,Pack_3,DOFT
NUD15820,"FRAME,SOLID OAK,11X14",NUD,B,28,13,EA,EA,,,1995/4/2
NUD15965M,"FRAME,LATCH&LOCK,OAK,12X16",NUD,B,28,13,EA,EA,,,1995/4/2
NUD17025,"FRAME,5X7,ANTIQUE GOLD    1",NUD,B,28,17,EA,EA,,,1995/4/2
NUD17028,"FRAME,8X10,ANTIQUE GOLD",NUD,B,28,17,EA,EA,,,1995/4/30
NUD17045,"FRAME,5X7,BLK.BURL W/GOLD",NUD,B,28,17,EA,EA,,,1995/4/30
NUD17048,"FRAME,8X10,BLK.BURL W/GOLD",NUD,B,28,17,EA,EA,,,1995/4/2
NUD17055,"FRAME,5X7,BRN.BURL W/GOLD",NUD,B,19,WA,EA,EA,,,1997/2/17
NUD17058,"FRAME,8X10,BRN.BURL W/GOLD",NUD,B,28,17,EA,EA,,,1996/7/1
NUD17065,"FRAME,5X7,GRN.BURL W/GOLD",NUD,B,28,17,EA,EA,,,1995/4/30
NUD17068,"FRAME,8X10,GRN.BURL W/GOLD",NUD,B,28,17,EA,EA,,,1995/4/30
NUD17081,"FRAME,WOOD,8.5X11",NUD,B,28,18,EA,EA,BX,,1995/7/30
NUD18811,"PLAQUE,AWARD,WALNUT",NUD,B,28,18,EA,EA,,,1995/4/2
NUD18812,"PLAQUE,AWARD,OAK",NUD,B,28,19,EA,EA,,,1995/4/2
NUD18813,"AWARD-A-PLAQUE,MAHOGANY",NUD,B,28,19,EA,EA,,,1995/4/2
NUD18851,"AWARD-A-PLAQUE,INSERT,GLD",NUD,B,28,19,EA,EA,,,1995/4/2
NUD18852,"AWARD-A-PLAQUE,GLD/OAK",NUD,B,28,19,EA,EA,,,1995/4/2
NUD18853,"AWARD-A-PLAQUE,INSERT,GLD/M",NUD,B,28,19,EA,EA,,,1995/4/2
NUD19210,"CERTIFICATE,FRAMED,ACHIEVE",NUD,B,28,20,EA,EA,,,1995/4/2
NUD19212,"CERTIFICATE,FRAMED,APPRECIA",NUD,B,28,20,EA,EA,,,1995/4/2
NUD19216,"CERTIFICATE,FRAMED,COMPLETN",NUD,B,28,20,EA,EA,,,1995/4/2
NUD30050,"FRAME,CUBE,8X10,CLEAR",NUD,B,28,20,EA,EA,,,1995/4/2
NUD30085,"FRAME,CUBE,8.5X11,CLEAR",NUD,B,28,21,EA,EA,,,1995/4/2
NUD30150,"FRAME,CUBE,16X20,CLEAR",NUD,B,28,22,EA,EA,,,1995/4/2
NUD30201,"FRAME,METAL POSTER,8.5X11",NUD,B,28,22,EA,EA,,,1995/4/2
NUD31211,"FRAME,METAL POSTER,16X20",NUD,B,28,23,EA,EA,,,1995/4/2
NUD31221,"FRAME,METAL POSTER,18X24",NUD,B,28,23,EA,EA,,,1995/4/2
NUD31241,"FRAME,METAL POSTER,24X36",NUD,B,28,24,EA,EA,,,1995/4/2
NUD35309,"FRAME,METAL CLIP,8.5X11",NUD,B,28,25,EA,EA,,,1995/4/2
NUD35325,"FRAME,GLASS,11X14,WITH MAT",NUD,B,28,25,EA,EA,,,1995/4/2
NUD35355,"FRAME,CERT,11X14,FLOATING",NUD,B,28,25,EA,EA,,,1995/4/2
NUD35435,"FRAME,""L"",3.5X5,CLEAR",NUD,B,19,WA,EA,EA,,,1996/12/16
